tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
534,2013-09-01 00:03:16,2013-09-01 00:12:10,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,16976,Subscriber,1984,2
1551,2013-09-01 00:03:42,2013-09-01 00:29:33,297,E 15 St & 3 Ave,40.734232,-73.986923,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,15653,Subscriber,1959,1
828,2013-09-01 00:03:45,2013-09-01 00:17:33,385,E 55 St & 2 Ave,40.75797322,-73.96603308,507,E 25 St & 2 Ave,40.73912601,-73.97973776,19123,Subscriber,1969,1
1997,2013-09-01 00:03:49,2013-09-01 00:37:06,496,E 16 St & 5 Ave,40.73726186,-73.99238967,469,Broadway & W 53 St,40.76344058,-73.98268129,15564,Customer,\N,0
266,2013-09-01 00:03:49,2013-09-01 00:08:15,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,18462,Subscriber,1981,1
1139,2013-09-01 00:03:55,2013-09-01 00:22:54,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,504,1 Ave & E 15 St,40.73221853,-73.98165557,15814,Subscriber,1983,1
510,2013-09-01 00:04:01,2013-09-01 00:12:31,510,W 51 St & 6 Ave,40.7606597,-73.98042047,477,W 41 St & 8 Ave,40.75640548,-73.9900262,16545,Subscriber,1960,1
816,2013-09-01 00:04:05,2013-09-01 00:17:41,326,E 11 St & 1 Ave,40.72953837,-73.98426726,307,Canal St & Rutgers St,40.71427487,-73.98990025,20232,Subscriber,1982,2
1137,2013-09-01 00:04:09,2013-09-01 00:23:06,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,504,1 Ave & E 15 St,40.73221853,-73.98165557,18708,Subscriber,1984,2
504,2013-09-01 00:04:14,2013-09-01 00:12:38,432,E 7 St & Avenue A,40.72621788,-73.98379855,497,E 17 St & Broadway,40.73704984,-73.99009296,15601,Subscriber,1984,1
665,2013-09-01 00:04:15,2013-09-01 00:15:20,319,Park Pl & Church St,40.71336124,-74.00937622,224,Spruce St & Nassau St,40.71146364,-74.00552427,14555,Customer,\N,0
73,2013-09-01 00:04:17,2013-09-01 00:05:30,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,18759,Subscriber,1984,1
257,2013-09-01 00:04:19,2013-09-01 00:08:36,168,W 18 St & 6 Ave,40.73971301,-73.99456405,466,W 25 St & 6 Ave,40.74395411,-73.99144871,18050,Subscriber,1977,1
721,2013-09-01 00:04:26,2013-09-01 00:16:27,509,9 Ave & W 22 St,40.7454973,-74.00197139,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,16485,Subscriber,1984,1
650,2013-09-01 00:04:27,2013-09-01 00:15:17,319,Park Pl & Church St,40.71336124,-74.00937622,224,Spruce St & Nassau St,40.71146364,-74.00552427,17756,Customer,\N,0
